flex-shrink-0 href,el-image__inner src,text-xl,text-xl,flex href,ml-1,ml-2,,text-xs,mt-2,text-xs 2,text-xs href,text-xs 3,text-xs href 2,text-xs 4,text-xs href 3
generative-ai-an-executive-guide,169711633168232309.jpg,Generative AI: An Executive Guide,生成式 AI：执行指南,https://executiveguide.ai/,6，6 千米赛,0,,10.81%,利用生成式 AI 技术和大型语言模型 （LLM） 在组织中创造价值的基本指南。,大型语言模型 （LLM）,large-language-models-(llms),AI广告助手,advertising-assistant,AI 内容生成器,ai-content-generator
osfin-ai,169711634972089280.jpg,Osfin.ai,Osfin.ai,https://osfin.ai/,6，4 千米赛,0,,23.26%,财务和会计自动化平台。,AI会计助理,accounting-assistant,AI产品描述生成器,ai-product-description-generator,AI 工作流管理,ai-workflow-management
sheet-chat,169824376388822002.jpg,Sheet Chat,工作表聊天,https://www.sheet-chat.site/,6，0 千米赛,2,,59.21%,借助 AI 协助简化办公任务。,AI 工作流管理,ai-workflow-management,AI 电子表格,ai-spreadsheet,AI 文档助手,ai-documents-assistant
humy-ai,169668825435720693.jpg,Humy.ai - Grow Your Business with AI Assistants,Humy.ai - 使用 AI 助手发展业务,https://humy.ai/,5，8 千米赛,1,,36.63%,无需编写代码即可创建 AI 助手。,AI聊天机器人,ai-chatbot,大型语言模型 （LLM）,large-language-models-(llms),AI 分析助手,ai-analytics-assistant
airpost,169763583241706785.jpg,airpost.ai,airpost.ai,https://www.airpost.ai/,5，6 千米赛,2,,49.68%,通过 airpost 提高 TikTok 的参与度,AI Tiktok 助手,ai-tiktok-assistant,AI 广告创意助手,ai-ad-creative-assistant,AI广告生成器,ai-ad-generator
knowlee,169857011849518030.jpg,Knowlee AI,诺利人工智能,https://knowlee.ai/,5，5千米赛,1,,31.98%,AI 驱动的助手提供量身定制的见解并自动创建内容。,写作助理,writing-assistants,文案,copywriting,AI 内容生成器,ai-content-generator
agentlabs,169763586210224748.jpg,AgentLabs,代理实验室,https://agentlabs.dev/,5，5千米赛,1,,20.70%,轻松构建基于聊天的 AI 助手。,AI聊天机器人,ai-chatbot,AI 应用程序生成器,ai-app-builder,AI 开发人员工具,ai-developer-tools
ai-shots,169625411320038567.jpg,AI Shots,AI 镜头,https://aishots.com/,5，5千米赛,1,,22.88%,毫不费力地创建令人惊叹的专业肖像。,AI个人资料图片生成器,ai-profile-picture-generator,AI照片和图像生成器,ai-photo-image-generator,AI自拍和人像,ai-selfie-portrait
echofox,169797968248386513.jpg,EchoFox,回声狐狸,https://echofox.io/,5，4 千米赛,1,,14.12%,AI 销售助理，提供 24/7 全天候支持和完成交易。,AI广告助手,advertising-assistant,AI聊天机器人,ai-chatbot,AI客服助理,ai-customer-service-assistant
onvo-ai,169797965624720795.jpg,Onvo AI,Onvo 人工智能,https://www.onvo.ai/,5，2 千米赛,3,,21.00%,AI 驱动的仪表板和报表生成器 SDK。,AI 分析助手,ai-analytics-assistant,AI 图表,ai-charting,AI 开发人员工具,ai-developer-tools
speaking-ai,169686003713803052.jpg,Speaking AI,口语 AI,https://speaking.ai/,5，2 千米赛,4,,72.01%,具有自然音质的生成语音的 Beta 测试。,AI产品描述生成器,ai-product-description-generator,AI语音识别,ai-speech-recognition,AI 语音合成,ai-speech-synthesis
utopic-ai,169745305149080361.jpg,Utopic.ai,Utopic.ai,https://utopic.ai/,5，2 千米赛,3,,42.00%,参与由 AI 提供支持的主题，结识同行并获得奖励。,网络3,web3,AI产品描述生成器,ai-product-description-generator,人工智能网站建设者,ai-website-builder
aico,169711488797210384.jpg,AICO,爱科,https://aico.tv/,< 5K,4,,91.01%,用于 YouTube 短片的 AI 驱动的视频编辑服务。,AI YouTube 助手,ai-youtube-assistant,AI Repurpose 助手,ai-repurpose-assistant,字幕或副标题,captions-or-subtitle
frederick-ai,169625420366131754.jpg,Frederick AI,弗雷德里克·艾（Frederick AI）,https://frederick.ai/,< 5K,2,,53.00%,创业理念验证和人工智能驱动的商业计划书制作。,人工智能商业创意生成器,ai-business-ideas-generator,AI 内容生成器,ai-content-generator,AI 潜在客户生成,ai-lead-generation
contentable-ai,169621857184812371.jpg,Contentable.ai,Contentable.ai,https://www.contentable.ai/,< 5K,1,,59.86%,生成式 AI 的端到端测试平台。在采用之前比较和测试多个 AI 模型。,AI 工具目录,ai-tools-directory,无代码&低代码,no-code-low-code,AI项目管理,ai-project-management
keywords-ai,169711637771481843.jpg,Keywords AI,关键词 AI,https://keywordsai.co/,< 5K,0,,45.44%,GPT-4 的经济高效的 LLM API 替代品。,大型语言模型 （LLM）,large-language-models-(llms),AI 响应生成器,ai-response-generator,写作助理,writing-assistants
bankstatementconverterai,169745283648602478.jpg,Bank Statement Converter AI,银行对账单转换器 AI,https://bankstatementconverterai.com/,< 5K,0,,22.24%,轻松提取银行对账单、PDF 和图像并将其转换为 Excel 或 CSV。,人工智能PDF,ai-pdf,AI文档提取,ai-document-extraction,,
colors-ai,169625416397742549.jpg,Colors AI,颜色 AI,https://www.colors-ai.com/,< 5K,2,,22.54%,下一代客户智能平台。,AI广告助手,advertising-assistant,AI产品描述生成器,ai-product-description-generator,AI电子邮件营销,ai-email-marketing
airparser,169621857363283240.jpg,Airparser,Airparser（空气解析器）,https://airparser.com/,< 5K,2,,12.52%,使用 AI 驱动的解析器彻底改变数据提取。,AI文档提取,ai-document-extraction,AI广告助手,advertising-assistant,人工智能合同管理,ai-contract-management
narrator-audiobook-maker,169849092299984144.jpg,Narrator,旁白,https://narratorapp.co/,< 5K,6,,22.60%,轻松将电子书变成有声读物。,AI语音助手,ai-voice-assistants,AI 语音合成,ai-speech-synthesis,文字转语音,text-to-speech
appmanager,169711485870025524.jpg,AppManager,应用管理器,https://appmanager.ai/,< 5K,1,,17.54%,借助 AppManager 的 AI 驱动的应用程序和用户配置，为初创公司简化 IT。专注于增长，同时我们满足您的 IT 需求。,AI 应用程序生成器,ai-app-builder,AI 文档助手,ai-documents-assistant,AI 文件助手,ai-files-assistant
ayraa,169772265772149239.jpg,Ayraa,艾拉,https://ayraa.io/,< 5K,0,,36.79%,您的个人搜索引擎和工作知识助手。,AI 知识库,ai-knowledge-base,人工智能知识管理,ai-knowledge-management,人工智能搜索引擎,ai-search-engine
askflow-ai,169857005587056843.jpg,Askflow,Askflow,https://askflow.ai/,< 5K,1,,22.76%,人工智能驱动的个性化推荐，实现明智的购物。,AI聊天机器人,ai-chatbot,AI产品描述生成器,ai-product-description-generator,AI 测验,ai-quizzes
pitchyouridea-ai,169797961861045902.jpg,Pitchyouridea.ai,Pitchyouridea.ai,https://pitchyouridea.ai/,< 5K,1,,16.51%,人工智能平台在 7 分钟内将想法转化为推销。,AI 内容生成器,ai-content-generator,人工智能商业创意生成器,ai-business-ideas-generator,AI演示生成器,ai-presentation-generator
exitfund,169711638840801934.jpg,Exitfund,退出基金,https://www.exitfund.com/,< 5K,0,,50.08%,从基金和天使投资人网络获得资金。,AI广告助手,advertising-assistant,,,,
sixty,169849096158620252.jpg,Sixty AI,六十个人工智能,https://www.sixty.app/,< 5K,1,,40.15%,保持联系，不要浪费时间。,AI电子邮件助手,ai-email-assistant,AI 调度,ai-scheduling,AI 生产力工具,ai-productivity-tools
speechpulse,169668819038575308.jpg,SpeechPulse,语音脉冲,https://speechpulse.com/,< 5K,3,,25.46%,实时语音识别和转录，可提高打字速度和准确的字幕。,语音转文本,speech-to-text,AI语音识别,ai-speech-recognition,AI广告助手,advertising-assistant
wrapsody,169849086749411577.jpg,Wrapsody,Wrapsody （英语）,https://www.wrapsody.com/en,< 5K,0,,45.18%,文档的自动虚拟化，以增强安全性和协作性。,AI产品描述生成器,ai-product-description-generator,AI 文档助手,ai-documents-assistant,AI 工作流管理,ai-workflow-management
hive3,169650930218014535.jpg,Hive3,蜂巢3,https://hive3.ai/,< 5K,7,,29.49%,人工智能创造者和领先品牌齐聚一堂，释放创造力并发展技能。,AI广告助手,advertising-assistant,,,,
we-are-learning,169650930033634708.jpg,We Are,我们是,https://www.wearelearning.io/,< 5K,4,,26.17%,让高质量的沉浸式培训变得简单。,AI角色,ai-character,AI 分析助手,ai-analytics-assistant,,
talkingpdf-io-chat-with-any-pdf,169763587217630036.jpg,TalkingPDF.io,TalkingPDF.io,https://www.talkingpdf.io/,< 5K,1,,32.38%,与任何 PDF 聊天，就像给朋友发短信一样！,人工智能PDF,ai-pdf,AI演示生成器,ai-presentation-generator,AI广告助手,advertising-assistant
cpa-pilot,169764418226637186.jpg,CPA Pilot,注册会计师试点,https://www.cpapilot.com/,< 5K,2,,68.57%,人工智能税务助手，自动化研究、客户沟通和税务会计师营销。,AI会计助理,accounting-assistant,AI产品描述生成器,ai-product-description-generator,税务助理,tax-assistant
lucidbox,169711632614595148.jpg,LUCIDBOX,透明盒,https://lucidbox.net/,< 5K,4,,38.61%,现代 UI 中的尖端 AI 生成娱乐。,AI 内容生成器,ai-content-generator,AI 工具目录,ai-tools-directory,,
seo-central,169650925712045710.jpg,SEO Central,SEO中心,https://seocentral.ai/,< 5K,2,,28.26%,通过自动生成关键字和内容来提高您网站的排名。,AI SEO助手,ai-seo-assistant,人工智能搜索引擎,ai-search-engine,AI广告助手,advertising-assistant
mentis,169824377185243894.jpg,Mentis,门蒂斯,https://mentis.gg/,< 5K,1,,28.22%,LinkedIn 内容灵感和生成变得容易。,AI 内容生成器,ai-content-generator,AI社交媒体助手,ai-social-media-assistant,写作助理,writing-assistants
takenote,169745287333165142.jpg,TakeNote,TakeNote （英语：TakeNote）,https://takenote.ai/,< 5K,12,,26.89%,通过 AI 转录提高会议效率。,转录,transcription,转录器,transcriber,语音转文本,speech-to-text
filebox-ai,169650925470528141.jpg,Filebox,文件框,https://filebox.ai/,< 5K,0,,61.29%,具有高级 AI 功能的基于云的文件存储。,AI聊天机器人,ai-chatbot,提示,prompt-1,AI 团队协作,ai-team-collaboration
plotpilot-ai-audiobooks,169686005540993964.jpg,PlotPilot,剧情飞行员,https://www.plotpilot.ai/,< 5K,3,,23.58%,把你的想法变成听觉魔术。,提示,prompt-1,大型语言模型 （LLM）,large-language-models-(llms),AI 响应生成器,ai-response-generator
build-me-a-cover-letter,169685997683668604.jpg,BuildMeACoverLetter,BuildMeACoverLetter,https://www.buildmeacoverletter.com/,< 5K,0,,37.49%,毫不费力地制作量身定制的求职信。,求职信生成器,ai-cover-letter-generator,简历生成器,ai-resume-builder,,
commenter-ai,169686006466486374.jpg,Commenter.ai,Commenter.ai,https://commenter.ai/,< 5K,2,,21.04%,生成有效的评论，节省时间，覆盖更广泛的受众。,AI社交媒体助手,ai-social-media-assistant,写作助理,writing-assistants,AI回复助手,ai-reply-assistant
scrip-ai-1,169745288975776246.jpg,Scrip.AI,Scrip.AI,https://scrip.ai/,< 5K,2,,63.55%,多合一的 AI 文本生成器和图像创建器。,AI 内容生成器,ai-content-generator,AI广告助手,advertising-assistant,AI产品描述生成器,ai-product-description-generator
true-ai,169857016082626542.jpg,True Extension,真正的扩展,https://truenation.ai/,< 5K,1,,25.51%,一个免费的 AI 工具，可过滤滥用、垃圾邮件和仇恨，支持内容创建并促进互联网权利。,AI广告助手,advertising-assistant,AI 内容生成器,ai-content-generator,AI 广告创意助手,ai-ad-creative-assistant
kniru-ai-powered-finance,169745306297589543.jpg,Kniru,克尼鲁,https://kniru.com/,< 5K,1,,48.95%,人工智能驱动的个人财务管理应用程序。,AI聊天机器人,ai-chatbot,,,,
fixitai,169849088016075372.jpg,FixitAI,FixitAI的,https://www.fix-it.ai/,< 5K,0,,52.05%,人工智能驱动的平台，以增加收入并降低成本。,AI 分析助手,ai-analytics-assistant,店员,sales-assistant,AI CRM助手,ai-crm-assistant
prescene,169857008158082536.jpg,Prescene,前场,https://prescene.ai/,< 5K,1,,74.93%,通过 AI 脚本分析彻底改变讲故事的方式。,AI脚本编写,ai-script-writing,AI 内容生成器,ai-content-generator,人工智能创意写作,ai-creative-writing
asymmetric-data,169857003192239085.jpg,Asymmetric Data - Keyword Clustering Tool,非对称数据 - 关键字聚类工具,https://www.asymmetricdata.io/,< 5K,1,,21.00%,通过关键字聚类优化内容营销策略。,AI SEO助手,ai-seo-assistant,,,,
ai-coffee-club,169764420687861584.jpg,AI Coffee Club,AI咖啡俱乐部,https://aicoffee.club/,< 5K,3,,42.37%,轻松生成高质量的 AI 内容。,AI 内容生成器,ai-content-generator,AI代码生成器,ai-code-generator,AI 代码助手,ai-code-assistant
buildyourbrand-ai,169711636183452822.jpg,BuildYourBrand-AI,构建你的品牌-AI,https://buildyourbrand-ai.com/,< 5K,2,,30.86%,利用 AI 简化品牌推广。毫不费力地脱颖而出。,AI广告助手,advertising-assistant,AI产品描述生成器,ai-product-description-generator,人工智能网站建设者,ai-website-builder
kolnak,169625412349485351.jpg,Kolank,科兰克,https://kolank.com/,< 5K,1,,25.36%,通过动态查询路由优化 AI 成本。,AI 工具目录,ai-tools-directory,大型语言模型 （LLM）,large-language-models-(llms),,
ai-icon-generator-for-apps,169763969546464283.jpg,IconAI.Shop,IconAI.Shop,https://iconai.shop/,< 5K,2,,29.32%,无需设计技能即可轻松创建独特的图标。,AI艺术生成器,ai-art-generator,AI图标生成器,ai-icon-generator,AI个人资料图片生成器,ai-profile-picture-generator
tripmix-ai,169849089299654201.jpg,TripMix,TripMix的,https://tripmix.ai/,< 5K,1,,39.74%,由 AI 提供支持的个性化旅行,AI旅行规划师,ai-trip-planner,,,,
chatmedical-ai,169798063599265711.jpg,ChatMedical.AI,ChatMedical.AI,https://chatmedical.ai/,< 5K,3,,39.92%,人工智能驱动的全球搜索和本地护理，实现无缝的医疗咨询和专业协作。,医疗,healthcare,AI聊天机器人,ai-chatbot,AI广告助手,advertising-assistant
scriber,169798061465807607.jpg,Scriber,划线器,https://aiscriber.io/,< 5K,4,,14.89%,轻松总结和转录 YouTube 视频。,AI广告助手,advertising-assistant,AI 工具目录,ai-tools-directory,总结器,summarizer
ai-powered-innovation-toolkit,169857001728054506.jpg,AIINNOVATION,人工智能创新,https://innovatenow.app/,< 5K,3,,63.14%,使用我们的工具包与客户产生共鸣并产生创新想法。,AI 工具目录,ai-tools-directory,AI产品描述生成器,ai-product-description-generator,AI广告助手,advertising-assistant
evermail-ai,169711479086739551.jpg,EverMail AI,EverMail人工智能,https://evermailai.com/,< 5K,3,,46.43%,在几秒钟内自动发送个性化的冷电子邮件。,AI电子邮件生成器,ai-email-generator,AI电子邮件助手,ai-email-assistant,AI电子邮件营销,ai-email-marketing
mindgenie,169849092070367542.jpg,MindGenie | AI Virtual Assistant,心灵精灵 |AI虚拟助手,https://mindgenie.co/,< 5K,0,,26.24%,在 AI 协助下轻松管理任务。,AI任务管理,ai-task-management,AI 调度,ai-scheduling,AI 团队协作,ai-team-collaboration
ai-flow,169763971145262090.jpg,AI-Flow,AI-Flow （英语：AI-Flow）,https://ai-flow.net/,< 5K,4,,27.67%,轻松连接多个 AI 模型并创建交互式网络。,AI 开发人员工具,ai-developer-tools,AI 工具目录,ai-tools-directory,大型语言模型 （LLM）,large-language-models-(llms)
medreport-ai,169857010120839563.jpg,MedReport,Med报告,https://medreport.ai/,< 5K,0,,55.20%,使用 AI 驱动的 MedReport 轻松生成专业的医疗保健报告。,AI 内容生成器,ai-content-generator,AI产品描述生成器,ai-product-description-generator,AI广告助手,advertising-assistant
yearbookphotos,169745291142002996.jpg,YearbookPhotos,年鉴照片,https://yearbookphotos.io/,< 5K,0,,40.25%,革命性的人工智能驱动的年鉴照片生成器。,AI照片和图像生成器,ai-photo-image-generator,AI艺术生成器,ai-art-generator,AI个人资料图片生成器,ai-profile-picture-generator
magpai,169711486584024796.jpg,Magpai,马格派,https://magpai.app/,< 5K,1,,21.50%,使用 Magpai 创建可扩展的内容。,AI 工作流管理,ai-workflow-management,AI 内容生成器,ai-content-generator,文本转图像,text-to-image
dvina,169632850699283762.jpg,Dvina,德维纳,https://dvina.co/,< 5K,0,,70.38%,人工智能和地理空间驱动的数据分析。,AI产品描述生成器,ai-product-description-generator,AI 分析助手,ai-analytics-assistant,AI数据挖掘,ai-data-mining
chathero-ai,169686004521130901.jpg,Chathero AI,Chathero 人工智能,https://chathero.ai/,< 5K,1,,44.23%,利用 AI 提升对话，促进销售。,AI聊天机器人,ai-chatbot,AI客服助理,ai-customer-service-assistant,AI 潜在客户生成,ai-lead-generation
clarify-ai,169849095147010527.jpg,Clarify AI,澄清 AI,https://www.clarify-ai.com/,< 5K,1,,55.92%,将模糊的想法转化为结构化的见解。,其他,other,,,,
enrol-ai,169745292070585691.jpg,Enrol Chat,注册聊天,https://enrol.chat/,< 5K,0,,46.83%,24/7 人工智能聊天工具，提供高效的客户服务,AI聊天机器人,ai-chatbot,AI 潜在客户生成,ai-lead-generation,AI客服助理,ai-customer-service-assistant
ava-pls,169849097666808410.jpg,Ava PLS,艾娃 PLS,https://www.avapls.com/,< 5K,0,,29.97%,桌面的本地语言模型。,大型语言模型 （LLM）,large-language-models-(llms),AI 开发人员工具,ai-developer-tools,,
legalgraph-ai-based-legal-assistant,169711634083121306.jpg,Legal Graph,法律图表,https://legalgraph.ai/,< 5K,5,,74.68%,人工智能驱动的法律助理，用于高效的合同分析。,法律助理,legal-assistant,人工智能合同管理,ai-contract-management,大型语言模型 （LLM）,large-language-models-(llms)
void-chats,169772256784739792.jpg,Void Chats,无效聊天,https://voidchats.com/,< 5K,2,,30.59%,与您最喜欢的角色的 AI 版本互动，并创建您自己的 AI 聊天个性。,AI角色,ai-character,AI聊天机器人,ai-chatbot,大型语言模型 （LLM）,large-language-models-(llms)
openrep,169745291068137709.jpg,OpenRep,OpenRep的,https://openrep.ai/,< 5K,12,,63.21%,人工智能驱动的 SEO 和社交媒体内容生成器和调度器。,AI SEO助手,ai-seo-assistant,AI 内容生成器,ai-content-generator,AI社交媒体助手,ai-social-media-assistant
copyly,169642433621995422.jpg,Copyly,抄袭,https://www.copyly.io/,< 5K,1,,78.80%,在几秒钟内生成 AI 驱动的内容。,AI SEO助手,ai-seo-assistant,AI 抄袭检查器,ai-plagiarism-checker,AI 语法检查器,ai-grammar-checker
promptwise-ai,169849091493445418.jpg,PromptWise.ai,PromptWise.ai,https://www.promptwise.ai/,< 5K,3,,28.90%,使用专家精心制作的输入增强 ChatGPT 的提示。,AI 内容生成器,ai-content-generator,,,,
eagle-bot,169824374195706784.jpg,Eagle Bot,Eagle 机器人,https://www.eagle-bot.com/,< 5K,2,,54.58%,适用于 Windows 和 MacOS 的无缝 AI 自动化。,AI聊天机器人,ai-chatbot,AI 生产力工具,ai-productivity-tools,人工智能搜索引擎,ai-search-engine
simbly,169711482691109572.jpg,simbly,简单,https://www.simbly.ai/,< 5K,1,,37.61%,在几分钟内完成 AI 驱动的商业计划。,人工智能商业创意生成器,ai-business-ideas-generator,,,,
travelaroundtheworld,169772260949834490.jpg,TravelAroundTheWorld.app,TravelAroundTheWorld.app,https://travelaroundtheworld.app/,< 5K,0,,39.67%,人工智能驱动的虚拟旅行和照片转换。,AI个人资料图片生成器,ai-profile-picture-generator,AI自拍和人像,ai-selfie-portrait,AI艺术生成器,ai-art-generator
autonoma,169849097011437018.jpg,Autonoma,自主神经瘤,https://getautonoma.com/,< 5K,0,,65.40%,AI 驱动的代码文档工具。,AI 代码助手,ai-code-assistant,AI 开发人员文档,ai-developer-docs,AI产品描述生成器,ai-product-description-generator
teachally,169849084780991313.jpg,Teachally,Teachally（教学）,https://teachally.com/,< 5K,2,,39.54%,人工智能驱动的教育工作者工具，用于高效创建符合标准的课程计划和作业。,AI客服助理,ai-customer-service-assistant,家庭作业助手,ai-homework-helper,AI教育助手,ai-education-assistant
creator-mind,169668828485982200.jpg,CreatorMind,造物主心灵,https://creatormind.co/,< 5K,3,,46.92%,博客/时事通讯的聊天机器人在几秒钟内。,AI聊天机器人,ai-chatbot,人工智能网站建设者,ai-website-builder,通讯,newsletter
techtrust-ai,169745284985342770.jpg,techtrust.ai,techtrust.ai,https://techtrust.ai/,< 5K,1,,45.92%,面向投资者的早期人工智能技术雷达。,其他,other,,,,
symbiotai,169857000816311305.jpg,SymbiotAI,共生体人工智能,https://symbiotai.com/,< 5K,4,,100.00%,人和AI模型的协作平台。,AI聊天机器人,ai-chatbot,AI 内容生成器,ai-content-generator,,
ohmysynt,169857333882395082.jpg,OHMYSYNT,奥米辛特,https://ohmysynt.io/,< 5K,10,,46.09%,用于个性化品牌内容的 AI 平台,AI 内容生成器,ai-content-generator,AI广告助手,advertising-assistant,AI照片和图像生成器,ai-photo-image-generator
ezsales-ai,169745293578666082.jpg,ezsales.ai,ezsales.ai,https://ezsales.ai/,< 5K,3,,100.00%,使用 GPT-4 查找和生成潜在客户。,店员,sales-assistant,AI 分析助手,ai-analytics-assistant,AI电子邮件助手,ai-email-assistant
lemmi,169763968847320601.jpg,Lemmi,莱米,https://lemmi.io/,< 5K,0,,57.03%,人工智能辅助的职业伴侣，用于求职。,人工智能招聘,ai-recruiting,简历生成器,ai-resume-builder,,
contentowl-ai-ai-powered-content,169642439611878744.jpg,ContentOwl.ai,ContentOwl.ai,https://contentowl.ai/,< 5K,1,,100.00%,人工智能驱动的内容创作平台,AI 内容生成器,ai-content-generator,AI博客作家,ai-blog-writer,,
findourview,169745295224012264.jpg,FindOurView,查找我们的视图,https://findourview.com/,< 5K,0,,100.00%,使用人工智能验证假设的研究平台。,AI产品描述生成器,ai-product-description-generator,,,,
coverletter-gpt,169849085288648514.jpg,ChatGPT Cover Letter Builder,ChatGPT 求职信生成器,https://coverletter-gpt.com/,< 5K,2,,56.82%,毫不费力地创建定制的专业求职信。,求职信生成器,ai-cover-letter-generator,简历生成器,ai-resume-builder,,
funblocks-ai,169764424342502271.jpg,FunBlocks,趣味块,https://funblocks.net/,< 5K,3,,59.98%,使用 AI 增强写作和学习。,AI 内容生成器,ai-content-generator,AI 应用程序生成器,ai-app-builder,,
alita,169711630889986462.jpg,ALITA - Social Segmentation Platform,ALITA - 社交细分平台,https://thealita.com/,< 5K,0,,39.68%,通过精确的客户档案为营销活动提供支持。,AI广告助手,advertising-assistant,AI 潜在客户生成,ai-lead-generation,AI电子邮件营销,ai-email-marketing
sb-helper,169745288672358426.jpg,SB Helper,SB 助手,https://sbhelper.ai/,< 5K,0,,44.51%,适用于中小型企业的简单 AI 支持聊天。,AI聊天机器人,ai-chatbot,AI客服助理,ai-customer-service-assistant,AI广告助手,advertising-assistant
hyperclapper-2-0,169745283625625398.jpg,HyperClapper,超级拍手,https://hyperclapper.com/,< 5K,3,,43.86%,通过 AI 评论、停留时间和实时分析提高 LinkedIn 的参与度。,AI社交媒体助手,ai-social-media-assistant,AI产品描述生成器,ai-product-description-generator,AI广告助手,advertising-assistant
aiphoria,169797970236887066.jpg,aiphoria,艾菲里亚,https://aiphoria.world/,< 5K,1,,54.63%,与朋友实时协作处理 AI 内容。在您的个人资料中分享几代人。,其他,other,,,,
docue-ai,169763975534378496.jpg,Docue.AI,Docue.AI,https://docue.ai/,< 5K,0,,100.00%,来自内部数据的数据洞察。,AI咨询助理,ai-consulting-assistant,店员,sales-assistant,,
bharatbot,169764423487503881.jpg,BharatBot,巴拉特机器人,https://bharatbot.ai/,< 5K,0,,72.11%,先进的聊天机器人平台，可提升客户互动。,AI聊天机器人,ai-chatbot,AI广告助手,advertising-assistant,AI客服助理,ai-customer-service-assistant
photoshift,169668822181892838.jpg,Photoshift,光移,https://www.photoshift.co/,< 5K,2,,62.07%,毫不费力地转换产品照片，获得逼真的效果。,AI广告助手,advertising-assistant,AI背景去除器,ai-background-remover,AI产品描述生成器,ai-product-description-generator
clipcision-ai-youtube-content-assistant,169642437666600452.jpg,Clipcision,剪辑,https://clipcision.com/,< 5K,2,,72.54%,用于受众扩展、品牌推广和收入增长的 AI YouTube 管理工具。,AI YouTube 助手,ai-youtube-assistant,AI 分析助手,ai-analytics-assistant,AI Repurpose 助手,ai-repurpose-assistant
biglypages,169764422371991817.jpg,Bigly Pages,大页面,https://biglypage.com/,< 5K,2,,100.00%,用于登录页面的快速 AI 生成器。,AI登陆页面生成器,ai-landing-page-builder,人工智能网站建设者,ai-website-builder,AI广告助手,advertising-assistant
chaperoned,169824370184966152.jpg,AI Chat,AI聊天,https://chaperoned.live/,< 5K,0,,66.38%,使用先进的 AI 彻底改变您的聊天方式。,AI聊天机器人,ai-chatbot,AI广告助手,advertising-assistant,,
craftman,169797960088977244.jpg,Craftman,工匠,https://craftman.ai/,< 5K,0,,60.01%,Craftman 是一个 AI 聊天机器人构建器，它使用您的数据训练 ChatGPT 为您的网站创建聊天机器人。,AI聊天机器人,ai-chatbot,AI客服助理,ai-customer-service-assistant,AI广告助手,advertising-assistant
autoprofile-personal-profiles,169849086721023160.jpg,AutoProfile,自动配置文件,https://autoprofile.me/,< 5K,2,,100.00%,毫不费力地管理您的在线个人资料。,AI广告助手,advertising-assistant,AI生物生成器,ai-bio-generator,AI个人资料图片生成器,ai-profile-picture-generator
instanews-ai,169857013939530513.jpg,InstaNews.ai,InstaNews.ai,https://instanews.ai/,< 5K,1,,49.54%,使用 InstaNews.ai 的 AI 驱动平台将 Instagram 帖子转换为引人入胜的博客文章。,AI 内容生成器,ai-content-generator,AI Repurpose 助手,ai-repurpose-assistant,,
teachify-ai-teaching-assistant,169857014885028736.jpg,Teachify,教化,https://www.teachify.online/,< 5K,3,,62.13%,用于参与学习活动的 AI 驱动工具。,AI教育助手,ai-education-assistant,家庭作业助手,ai-homework-helper,人工智能辅导,ai-coaching
skills-up-your-ai-learning-buddy,169711639964055008.jpg,Skills Up,技能提升,https://www.skillsupapp.com/,< 5K,4,,100.00%,您的终极 AI 学习伴侣。,人工智能课程,ai-course,AI教育助手,ai-education-assistant,AI 测验,ai-quizzes
robotalife,169772263927465457.jpg,RobotaLife,机器人生活,https://robotalife.com/,< 5K,3,,66.32%,通过人工智能驱动的机器人为交易者赋能。,AI 交易机器人助手,ai-trading-bot-assistant,,,,
zbots,169824379922567532.jpg,ZBots,ZBots（ZBots）,https://zfiremedia.com/,< 5K,0,,100.00%,利用 AI 聊天机器人推动客户服务革命,AI聊天机器人,ai-chatbot,AI广告助手,advertising-assistant,AI客服助理,ai-customer-service-assistant
just-story-it,169685998510239329.jpg,Just Story It,只是讲故事,https://juststoryit.net/,< 5K,1,,81.21%,使用 AI 生成的音频进行革命性的故事讲述。,人工智能故事写作,ai-story-writing,AI广告助手,advertising-assistant,AI产品描述生成器,ai-product-description-generator
wordage-ai,169711481218489772.jpg,Wordage AI,Wordage人工智能,https://www.wordage.ai/,< 5K,1,,100.00%,人工智能驱动的内容摘要工具。,总结器,summarizer,AI 内容生成器,ai-content-generator,AI 重写器,ai-rewriter
podsee,169772265483494648.jpg,pods.ee,pods.ee,https://pods.ee/,< 5K,1,,43.58%,播客听众的 AI 工具。,AI 播客助手,ai-podcast-assistant,AI 工具目录,ai-tools-directory,,
yc-application-optimizer,169745299864964227.jpg,KnowSilos,KnowSilos（知识筒仓）,https://www.knowsilos.com/,< 5K,0,,100.00%,利用 KnowSilos 的 AI 驱动见解提升您的 YC 应用游戏。,AI 知识库,ai-knowledge-base,AI知识图谱,ai-knowledge-graph,人工智能知识管理,ai-knowledge-management
taskaid-ai,169686001974063212.jpg,Taskaid AI,Taskaid 人工智能,https://www.taskaid.ai/,< 5K,2,,59.37%,通过支持 AI 的任务管理提高工作效率。,AI聊天机器人,ai-chatbot,AI任务管理,ai-task-management,AI 生产力工具,ai-productivity-tools
yarpai,169798060513041271.jpg,YarpBot,雅普机器人,https://yarpbot.com/,< 5K,0,,100.00%,由 ChatGPT 提供支持的交互式动态 Twitch 助手。,AI聊天机器人,ai-chatbot,AI 代码助手,ai-code-assistant,AI 内容生成器,ai-content-generator
